url,description
http://www.adelsheim.de/,"This website, Stadt Adelsheim (Adelsheim's City), welcomes visitors to explore its events, tourism attractions, and community living. The 'Freizeit & Tourismus' section showcases all the sightseeing highlights, while 'Unser Freibad' invites you for a special summer experience. 'Leben & Wohnen' assures comfort for residents of all ages. The 'Adelsheim leuchtet' section encourages visitors to be captivated by Adelsheim's vibrant city lights. For assistance, check the 'Bürgerservice' page. Please note that this website uses cookies for website traffic analysis and marketing purposes.} "
http://www.aichach.de/,"This Aichach city website uses cookies to provide optimal service. More information in our data protection declaration. The site includes sections on the city's history, partner cities, and Fairtrade initiatives. Users can search for specific topics or navigate through the main menu which includes sections on the city hall, administration, and more."
https://www.allendorf-lda.de/,"The homepage of Allendorf (Lumda) city presents information on local news, official announcements, council meetings, building plans, events, contact details, forms, taxes, utilities, municipal services, and more. Additionally, sections cover history, culture, tourism, and business opportunities in the region."
https://www.alpirsbach.de/,"The City of Alpirsbach homepage offers a comprehensive guide to the local community. Sections include citizen services, employees and contacts, public notices, newsletter, forms and by-laws, waste management, new residents, taxes, business, tourism, housing, city plan, prospectuses, public life, education and clubs, health and social services, church and community, culture and attractions, the Kloster monastery, open spaces, city tours, museum, crafts, regional delicacies, markets, nature and leisure. Other sections cover parks and biotopes, hiking trails, cycling routes, free-time activities, city infrastructure, districts, partnerships, commercial real estate, economy and construction, companies A-Z, mobility and parking, municipal politics, city institutions and enterprises, events and celebrations, fire department, and jobs and careers."
http://www.alsfeld.de,"The City of Alsfeld website offers information on various aspects of city life, including sections on living, tourism, and economy. The site includes a search function for specific queries. Sections on 'Life' cover topics like employment, education, and eldercare services. 'Bildung' provides details on educational opportunities and kindergartens, with information on enrollment procedures and fees. This accessible website aims to keep residents informed and engaged in their community."
https://www.altoetting.de/,"City of Altötting: Explore our vibrant community through live webcam, virtual tours, local events, and engaging forums. Find information on tourism, services, and city administration. Access resources for building and living, as well as contact numbers for various departments and institutions. Discover local culture, sports, art, and more. Stay informed on city news, life in Altötting, accessibility, and upcoming festivals and markets."
https://www.amorbach.de/,"The official website of Amorbach City provides information on various municipal services and facilities. Sections include contact details, city impressions, neighborhoods, history, partnerships, town hall and administration, citizen portal, public institutions, publications, social services, education, building and housing, and communal construction. The site offers news, announcements, and online forms for citizen engagement."
https://www.backnang.de/,"The City of Backnang homepage showcases local information and services. Users can access current city administration updates, explore various departments and offerings, and discover related news via social media. The Service section offers details on ongoing projects, job opportunities, marriage ceremonies, and building plots. The Oberbürgermeister's greeting and biography are also featured."": 249}"
https://www.bad-aibling.de/,"This website is the homepage of a health and wellness resort in Bad Aibling, Germany. Features include search functionality, menu, booking, and travel dates selection. Users can filter results and load more. Sections for adult and child accommodations with required fields to fill out and buy packages. Health-related services such as symptom checker, healthcare finder, and various health offers are provided. The 'Die Aktive Woche' (The Active Week) section offers programs focusing on nature, thermal water, and different therapeutic fields like mental health, orthopedics, neurology, oncology, adipositas, and allergy-friendly options. Events calendar is also included."
https://www.bevensen-ebstorf.de/,"The Bevensen-Ebstorf website welcomes visitors to their local government services. Here, you can find information on upcoming appointments for municipal offices, assistance for Ukrainian refugees, and new policies such as the end of issuing, updating or renewing children's passports. Projects covered include education, social services, security, and more. Services offered range from registration offices to fire departments, with contact details provided."
http://www.bad-driburg.de/,"The Bad Driburg homepage offers local news, announcements, and information about the city's development. The site uses external components like Google Fonts, Youtube-Videos, and OpenStreetMaps to enhance user experience but warns that loading these may result in data collection by third parties. Users must give consent for uninterrupted access. The page includes sections on current events, publications, green infrastructure, and more."":32}"
http://www.bad-friedrichshall.de/,"City of Bad Friedrichshall Homepage: This website presents information about the city of Bad Friedrichshall, Germany. The main menu includes sections on the mayor's greeting, city areas, city plan, partners and partnerships, history, current events, town council news, events calendar, annual reports, local newspaper, transportation, housing, business development, building regulations, and finances."
http://www.stadt-badgottleuba-berggiesshuebel.de/,"The homepage of Bad Gottleuba-Berggießhübel city welcomes visitors with a clear layout and easy navigation. Sections include 'Welcome', 'City Chronicle' with news, contact for sales inquiries, 'Gottleuba Forest' and local news. Other sections cover current events, press releases, church news, construction projects, job offers, waste management, help desk, weather warnings, and administrative information."
http://www.badgriesbach.de/,"Bad Griesbach in Rottal"": -180.529713,"
http://www.bad-hersfeld.de/,"Welcome to Bad Hersfeld, the City of Events and Spas! Visitors, residents, and entrepreneurs will find tourism, gastronomy, politics, administration, and business opportunities. Discover our online appointment system for the citizen's office. Copyright Magistrat der Kreisstadt Bad Hersfeld. Imprint, Data Protection, Accessibility Information, Cookie Settings."": {
""description"": ""Bad Hersfeld is a city known for events, spas, and tourism. It welcomes visitors, residents, and entrepreneurs with various opportunities in gastronomy, politics, administration, and business. The website offers an online appointment system for the citizen's office and provides accessibility information, imprint, data protection, and cookie settings.""}}"
https://www.bad-homburg.de/,"The city of Bad Homburg v.d. Höhe's homepage offers access to various online services, including childcare and business startup support. Discover city news, events, and announcements. Browse menus for further information on offerings such as Kinderbetreuung (childcare) and Existenzgründung (business startups). Stay updated with the latest news and download the Bad Homburg app."
